,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood
8127,8127,7CTtRVeuLsEYy1NlC16pCk,Ella Fitzgerald,Christmas Best Hits 2022,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8126,8126,3ytaJfUjlDmaKo1KqllPXA,Ella Fitzgerald;Louis Armstrong,Christmas Dinner,I've Got My Love To Keep Me Warm,0,190306,False,0.516,0.491,0,-9.682,1,0.0778,0.617,0.0,0.149,0.788,110.526,4,blues,Happy
8124,8124,3JibLpqNHuIMfOy3maUWse,Ella Fitzgerald,Pop Fun and Christmas Music 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8123,8123,04KeHjz5E58E3CLOhIqWnr,Ella Fitzgerald,Christmas Playlist 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8122,8122,7ckUEDVJ1woYh2NnaHxA8G,Ella Fitzgerald,Classic Christmas Music 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8121,8121,0uXnFu9BRS1kIKNFi8Z6NJ,Ella Fitzgerald,Home For Christmas 2022,Winter Wonderland,0,137026,False,0.499,0.339,8,-8.929,1,0.061,0.917,0.0,0.0784,0.656,116.269,4,blues,Sad
8120,8120,1KOqPUSBvfcVFvmbDxYLyC,Ella Fitzgerald,pov: you saw mommy kissing santa claus,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8119,8119,0lOk1COnPBSFGzg1Gt5IBa,Ella Fitzgerald,A Very 60s Christmas,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8118,8118,4lJX2CpRZKPWAIOzOdvENF,Ella Fitzgerald,Home At Christmas,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8117,8117,1L2haXaEqTMAcdUyAZJeV9,Ella Fitzgerald,Home At Christmas,Winter Wonderland,0,137026,False,0.499,0.339,8,-8.929,1,0.061,0.917,0.0,0.0784,0.656,116.269,4,blues,Sad
8116,8116,6m1A74FqvZFF9zRTI23P8I,Ella Fitzgerald,The Very Best Christmas Songs 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8115,8115,5lIAn4lM6KBYzpNttHWhAZ,Ella Fitzgerald,Weihnachten Playlist,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8114,8114,2OImOyNxoQj3EhOjfGtkT4,Ella Fitzgerald,Christmas Dinner 2022,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8113,8113,07vTKxT54r3a23Q0gILvOu,Ella Fitzgerald,pov: you have a holly jolly christmas,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8112,8112,5qI9gSVZRtAcbkw1Xzx0B9,Ella Fitzgerald,Christmas 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8111,8111,6JLsAMhOQkmEUvr0t4EIDt,Ella Fitzgerald,GOD JUL,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8110,8110,7tfSlkyv8xmyoUEGd53mBC,Ella Fitzgerald;Louis Armstrong,Coffee Break,Dream A Little Dream Of Me - Single Version,0,187693,False,0.45,0.25,0,-8.333,1,0.096,0.909,0.0,0.131,0.377,82.108,4,blues,Sad
8083,8083,4tMBFkwGyBlZj2Rl1R7mwP,Ella Fitzgerald,Christmas Soul Classics,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8081,8081,3GL5VxEIqjPf4BfQb3NV2C,Ella Fitzgerald,Weihnachtslieder 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
45090,45090,2j8bhTAfGOGP4TJGbO7hR0,Tinariwen,Afrobeats 2022,Cler Achel,0,267533,False,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4,guitar,Happy
8056,8056,4UGYAzxUtzLllltVU4gaS8,Ella Fitzgerald,Holidays Are Coming,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8054,8054,4xaECM92qrcin1GVjjtlX2,Ella Fitzgerald,GOD JUL,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8053,8053,0ctlOXCRfpjRUkBcQxs3nu,Ella Fitzgerald,Christmas Classics,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8052,8052,7zrxUrilLtTk4XnT5G7zF8,Ella Fitzgerald,All I Want For Christmas Is You,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8051,8051,5zz9ypkkewsz1sfqntWOn1,Ella Fitzgerald,christmas but not christmas songs,Blue Skies,0,225160,False,0.401,0.368,7,-10.511,1,0.0452,0.822,0.0,0.0674,0.681,159.844,4,blues,Sad
8049,8049,6fsHeJsRAscaPO6Wi8zwTX,Lynyrd Skynyrd,Best 70s Rock Tunes,Sweet Home Alabama,0,285373,False,0.614,0.724,7,-7.521,1,0.0247,0.217,0.000256,0.146,0.902,97.863,4,blues,Happy
8047,8047,4GPQDyw9hC1DiZVh0ouDVL,The Black Keys,OK Boomers - Top Tunes,Keep My Name Outta Your Mouth,0,189356,False,0.597,0.702,11,-4.767,1,0.0445,0.0197,0.01,0.125,0.645,83.507,4,blues,Happy
8046,8046,0pS25QJ0g83B2OIu9je81g,Ella Fitzgerald,Santa Claus Is Coming To Town,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8045,8045,7sdaD6KTdB6mU1E79NVnwW,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8044,8044,5SGoc2TZZ7xGdLQ7kpU06d,Otis Redding,Christmas Dinner,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues,Happy
8043,8043,0X6unr81shIRDbdW5aMFSM,Ella Fitzgerald,Home For Christmas 2022,Jingle Bells,0,143093,False,0.699,0.726,7,-5.364,1,0.0726,0.575,0.0,0.655,0.877,119.185,4,blues,Happy
45032,45032,3c7Doe67vpPgqUo2uRFyVO,Yngwie Malmsteen,Nordic Metal,Leviathan,0,266040,False,0.224,0.938,7,-8.08,1,0.121,0.0101,0.785,0.554,0.162,109.835,3,guitar,Happy
45038,45038,0HixGNQWQEzQXFLNEtcHjy,Miloš Karadaglić;Ksenija Sidorova;Studioorchester der Europäischen FilmPhilharmonie;Christoph Israel,En la nada,Cuatro Tangos: Libertango - Latino Gold Version,0,181400,False,0.444,0.289,9,-17.234,0,0.0578,0.868,0.503,0.0806,0.284,153.79,4,guitar,Calm
45048,45048,1SqPEF00fi5Ed7Ak5IKeXh,Joaquín Rodrigo;Miloš Karadaglić;London Philharmonic Orchestra;Yannick Nézet-Séguin,Classical Running,Concierto de Aranjuez for Guitar and Orchestra: 1. Allegro con spirito,0,357573,False,0.519,0.142,2,-20.175,1,0.0375,0.954,0.938,0.131,0.296,125.705,3,guitar,Calm
45077,45077,5t6HblLYoQipITHnwYhCMV,Mikis Theodorakis;Francesco Diaz,"Chill Out Mood, Vol. 4",Lost In Phaedra,0,402000,False,0.344,0.2,10,-15.859,1,0.034,0.785,0.162,0.374,0.049,119.887,4,guitar,Sad
45081,45081,6zJosLapehyU5KCba2KYK0,Tinariwen,Best Afropop Tunes,Cler Achel,0,267533,False,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4,guitar,Happy
45082,45082,4QIjnRz7NIkadIPXQyB3UY,Tinariwen,Africa Rising Vol.5,Cler Achel,0,267533,False,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4,guitar,Happy
45085,45085,5s9oA81JecmYUprY7NbjDb,Bill Frisell,ZEN 2022,Fifty Years,0,246093,False,0.325,0.217,9,-11.661,0,0.0275,0.918,0.903,0.109,0.0733,85.426,3,guitar,Calm
45087,45087,5k7NEBk8g8fbtgPovYj0dr,Mikis Theodorakis;Francesco Diaz,Balearic Deep-House Winter 2022,New Days (Sinking Soul),0,438000,False,0.527,0.353,2,-9.568,0,0.0384,0.477,0.836,0.124,0.058,125.98,4,guitar,Calm
45089,45089,76tnYB0rfmgSFi7L4uYB7J,Tinariwen,Afrodance 2022,Cler Achel,0,267533,False,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00935,0.069,0.926,98.612,4,guitar,Happy
8055,8055,1lJWopyBsnNY029HUETv0R,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8057,8057,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8080,8080,1p7X6d0pxUclbrO6hg8uTS,Ella Fitzgerald,All I Want For Christmas Is You,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8058,8058,38UDPaDM2jZMRv4aEXhdi3,Ella Fitzgerald;Louis Armstrong,Un tecito y a mimir,Stars Fell On Alabama,0,211720,False,0.329,0.139,5,-11.934,1,0.0407,0.949,0.0,0.117,0.183,169.608,5,blues,Sad
8079,8079,5siu3VgukcO864Zsgmqvde,Ella Fitzgerald,A Very 60s Christmas,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8078,8078,7kj7fG3A6mYLDMfxDejfzm,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8077,8077,2lXbxgwCKdw8wfwjJkeknL,Ella Fitzgerald,Classic Christmas 2022,White Christmas,0,181186,False,0.415,0.212,8,-15.848,1,0.0318,0.785,0.0,0.325,0.338,92.988,4,blues,Sad
8076,8076,357pRaRB0tID9c98Eg2TDn,Ella Fitzgerald;Louis Armstrong,christmas but not christmas songs,Cheek To Cheek,0,353647,False,0.665,0.443,0,-8.076,1,0.0803,0.582,0.0,0.113,0.662,122.872,4,blues,Sad
8074,8074,3e95Yjkzhw8oR2pR1BPQpI,Ella Fitzgerald,Chill Christmas Dinner,The Secret Of Christmas,0,168146,False,0.258,0.175,0,-11.903,1,0.0323,0.939,0.000156,0.136,0.107,89.072,3,blues,Sad
8073,8073,37NRNwqKLqtzMpVfBuhl0n,Ella Fitzgerald;Louis Armstrong,Desayuno en calma,They Can't Take That Away From Me,0,277706,False,0.551,0.232,3,-13.619,1,0.0782,0.626,0.0,0.13,0.394,103.308,4,blues,Sad
8072,8072,4RWsVVHr55gPDn1FjeQJNT,Ella Fitzgerald,Beste Weihnachtslieder,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8071,8071,4sBchehueRZr8z4gg3OgbE,Ella Fitzgerald,Rock Christmas 2022 - The Very Best Of,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8070,8070,5E8pCmwdxQSnYsUwAtkLGO,Ella Fitzgerald,Jingle Bell Rock 2022,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8069,8069,2E1sUwtH4AANynciTbL36h,Ella Fitzgerald,JULMUSIK,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,Sad
8068,8068,1xbpqLQibJSDku2aug3xet,Ella Fitzgerald,Weihnachten Musik,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8067,8067,2jz3CiLG3MLOqZ9gOv6z1A,Ella Fitzgerald,Home For Christmas 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8066,8066,7odt0XkmUk2EGgH9pdzwRQ,Ella Fitzgerald,Christmas Eve At Home,Winter Wonderland,0,137026,False,0.499,0.339,8,-8.929,1,0.061,0.917,0.0,0.0784,0.656,116.269,4,blues,Sad
8065,8065,4fV4ENJPXONNMtGiujA2Hj,Ella Fitzgerald,Best Christmas Playlist Ever 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8064,8064,7ccsKU0u0EB123rIg20ktB,Ella Fitzgerald,Beste Weihnachtslieder,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8063,8063,0X6q6lE4evlnpVKozjg5Tm,Ella Fitzgerald,Christmas Eve At Home,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8062,8062,4Ovn5T4LAEE8mfYtsmjLoA,Ella Fitzgerald,Christmas Dinner 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8061,8061,7i0UYyimBRONNLjNdsfVBz,Ella Fitzgerald,Christmas Best Hits 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8059,8059,0XOoWlEiKzyF5VS4oh3Yb6,Ella Fitzgerald,pov: you are walking in a winter wonderland,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
68564,68564,4nhL5OXYTOLqJhJGXwEpFE,R.K.M & Ken-Y,Queda poco para la PAES 2.0,Te Regalo Amores,0,239146,False,0.845,0.832,2,-7.289,1,0.0393,0.0558,4.83e-06,0.0765,0.773,115.029,4,latino,Happy
68563,68563,0lP3xJ4fWWCh7pN06U4IWr,Angel Y Khriz,Queda poco para la PAES 2.0,Ayer La Vi,0,236080,False,0.732,0.896,9,-4.517,1,0.0434,0.093,0.0,0.159,0.787,99.946,4,latino,Happy
68562,68562,4knGE25OEOeaJocSkSliuz,"Angel Y Khriz;Gocho ""El Lápiz De Platino"";John Eric",Halloween 2022 Perreo Vol. 3,Na De Na,0,202866,True,0.878,0.893,6,-5.834,1,0.122,0.182,0.0,0.105,0.682,119.925,4,latino,Happy
8024,8024,7vvQrcQCfq7SB8mxO9CRHq,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8022,8022,6uPNJqmDLsgAJnNTR5V7QP,ZZ Top,80's,Sharp Dressed Man - 2003 Remaster,0,253413,False,0.527,0.786,5,-8.01,1,0.0362,0.000153,0.00271,0.085,0.343,125.117,4,blues,Happy
8021,8021,2yQJT5fopKSAdJB2aaLgwr,Ella Fitzgerald,World's Best Christmas Playlist,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8020,8020,1ygKuPiMlPKKonNecBWlg0,Otis Redding,Holly Jolly Christmas,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues,Sad
8019,8019,5h2YLD9MLviHF25NNYYi9j,Otis Redding,Christmas Time,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues,Sad
8018,8018,4a5Dibxjp4I8e4DWHg6apf,Lynyrd Skynyrd,Country Road Songs,Simple Life,0,197106,False,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4,blues,Energetic
8017,8017,5OQeh0hl86gwzbhKJlCMLT,Otis Redding,Perfect Christmas Hits,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues,Sad
8016,8016,7pSga5MXj7IbOuRCVuadBR,Otis Redding,Thanksgiving Party,I Want to Thank You,0,160840,False,0.537,0.521,3,-11.326,1,0.0606,0.56,0.00665,0.0879,0.961,199.362,4,blues,Happy
8015,8015,08dNxhOkSsdUOaHthtIy91,Ella Fitzgerald,Christmas Eve At Home,Jingle Bells,0,143093,False,0.699,0.726,7,-5.364,1,0.0726,0.575,0.0,0.655,0.877,119.185,4,blues,Happy
8013,8013,7idmN70yhFrMLLoC4Ufeak,Otis Redding,Thanksgiving Party,Wonderful World,0,191533,False,0.863,0.624,3,-5.637,1,0.0375,0.54,8.43e-06,0.03,0.958,105.49,4,blues,Happy
47065,47065,5JVe7nJ0MqVBiKAkjE9UXW,Foreigner,80's,Waiting for a Girl Like You,0,292066,False,0.322,0.469,10,-9.286,0,0.0342,0.308,1.94e-06,0.0402,0.428,202.308,4,hard-rock,Sad
47067,47067,1NaHqvYJ48wdyQZMkNnUUr,Pantera,Metal,Walk,0,315120,True,0.428,0.704,6,-8.018,0,0.0808,0.000156,0.00223,0.0933,0.703,116.898,4,hard-rock,Happy
47069,47069,2iA4neLS2rg1dlciGgmt4X,Megadeth,Release Your ANGER,Symphony Of Destruction,0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,hard-rock,Energetic
47070,47070,0e5LcankE0UyJUuCoq1uH2,Steve Miller Band,Fishing Music,The Joker,0,264503,False,0.596,0.448,5,-9.616,1,0.0396,0.365,5.22e-06,0.207,0.796,83.293,4,hard-rock,Happy
47071,47071,05fL1P3yj5DLIE9mF7pf1z,The Doobie Brothers,OK Boomers - Top Tunes,What a Fool Believes,0,219573,False,0.646,0.625,8,-8.819,0,0.0336,0.275,0.0,0.086,0.977,120.656,4,hard-rock,Happy
47072,47072,424WY6p8kPClokqegSpJfV,Rob Zombie;Ozzy Osbourne,Release Your ANGER,Iron Head,0,251200,False,0.527,0.924,6,-4.503,1,0.0367,7.92e-05,0.0671,0.705,0.324,102.036,4,hard-rock,Energetic
47075,47075,6uPNJqmDLsgAJnNTR5V7QP,ZZ Top,80's,Sharp Dressed Man - 2003 Remaster,0,253413,False,0.527,0.786,5,-8.01,1,0.0362,0.000153,0.00271,0.085,0.343,125.117,4,hard-rock,Happy
47080,47080,2vGDTOtslhkco6LVFfdEI2,Soundgarden,Rock & Halloween,Black Hole Sun,0,318586,False,0.351,0.827,6,-5.351,1,0.0412,0.000222,0.000118,0.0755,0.145,105.463,4,hard-rock,Energetic
47081,47081,6JN0cjFT0zDRYxzqcKrvwf,Soundgarden,Hits Pop Rock 90's,Spoonman,0,246920,False,0.258,0.904,0,-5.625,1,0.0386,2.2e-05,0.218,0.255,0.832,186.054,3,hard-rock,Energetic
47082,47082,4vvCo9Lxak9UqHVOyFmjFT,Rob Zombie,Pumpkin Patch Hits,Living Dead Girl,0,201400,False,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,4,hard-rock,Energetic
8023,8023,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues,Happy
8025,8025,5ftfVzSLIi5ZxYdNbRtf41,The Black Keys,Coffee Moment,Never Gonna Give You Up,0,218986,False,0.557,0.665,6,-6.19,0,0.0328,0.321,0.000281,0.0713,0.437,75.803,4,blues,Sad
47084,47084,0X2rK2dB3aEGw1KOK0ioAL,Rob Zombie,Pumpkin Patch Hits,Dragula,0,222893,False,0.579,0.978,0,-5.327,0,0.0548,8.55e-05,0.000141,0.0955,0.558,125.073,4,hard-rock,Energetic
47047,47047,1955ZZJe1TzmSR0TomnNjI,Megadeth,Halloween Spooky Party 2022,Symphony Of Destruction,0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,hard-rock,Energetic
8030,8030,5HfjKD2GdTKylx57dSemch,Otis Redding,All I want For Christmas Is Music,"Merry Christmas, Baby [take 1] - Take 1",0,152933,False,0.746,0.458,11,-8.844,1,0.0312,0.0631,0.0,0.167,0.942,100.429,4,blues,Happy
8029,8029,07uPklAHdtkXATBcS9FvtS,Otis Redding,Christmas Music - Holiday Hits,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues,Sad
8028,8028,0SidD5FXjLY20EffJQDAI7,Ella Fitzgerald,Rockin' Around The Christmas Tree 2022,Sleigh Ride,0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,blues,Sad
8027,8027,3Xrasa4unuME8UMwOnqIP9,Ray Charles,Thanksgiving Party,Ain't That Love,0,173906,False,0.751,0.467,10,-9.535,1,0.327,0.303,0.0,0.163,0.774,118.11,4,blues,Happy
8026,8026,1VNgkKygpjGFRrMRkzMJDh,Otis Redding,Cuddle Up Christmas,Merry Christmas Baby,0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,blues,Sad
47016,47016,7x7i3XBKSM4AoLoPymDuh9,Ghost,Pumpkin Patch Hits,Mary On A Cross,0,244804,False,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4,hard-rock,Energetic
47017,47017,06Stw5UCrKYwPBxsTOfBtA,Ghost,Twisted Halloween Hits,Mary On A Cross,0,244804,False,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4,hard-rock,Energetic
47025,47025,3EAdkWngM7RifOu9kSH4cu,Ghost,Halloween Spooky Party 2022,Square Hammer,0,239293,False,0.529,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.746,129.986,4,hard-rock,Energetic
47026,47026,7JKeRODQpE6XSOkHUYJrc3,Ghost,Halloween 2022,Square Hammer,0,239293,False,0.529,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.746,129.986,4,hard-rock,Energetic
